Service Operation,baseCRBQName,Service Domain,Role Definition
Initiate Program Trade Execution Function,ProgramTradeExecution,Program Trading,Role for Initiate Program Trade Execution Function service operation
Initiate Program Traded Portfolio Algorithm Function,ProgramTradedPortfolioAlgorithm,Program Trading,Role for Initiate Program Traded Portfolio Algorithm Function service operation
Initiate Program Traded Portfolio Maintenance Function,ProgramTradedPortfolioMaintenance,Program Trading,Role for Initiate Program Traded Portfolio Maintenance Function service operation
Notify Program Trade Execution Function,ProgramTradeExecution,Program Trading,Role for Notify Program Trade Execution Function service operation
Notify Program Traded Portfolio Algorithm Function,ProgramTradedPortfolioAlgorithm,Program Trading,Role for Notify Program Traded Portfolio Algorithm Function service operation
Notify Program Traded Portfolio Maintenance Function,ProgramTradedPortfolioMaintenance,Program Trading,Role for Notify Program Traded Portfolio Maintenance Function service operation
Request Program Trade Execution Function,ProgramTradeExecution,Program Trading,Role for Request Program Trade Execution Function service operation
Request Program Traded Portfolio Algorithm Function,ProgramTradedPortfolioAlgorithm,Program Trading,Role for Request Program Traded Portfolio Algorithm Function service operation
Request Program Traded Portfolio Maintenance Function,ProgramTradedPortfolioMaintenance,Program Trading,Role for Request Program Traded Portfolio Maintenance Function service operation
Retrieve Program Trade Execution Function,ProgramTradeExecution,Program Trading,Role for Retrieve Program Trade Execution Function service operation
Retrieve Program Traded Portfolio Algorithm Function,ProgramTradedPortfolioAlgorithm,Program Trading,Role for Retrieve Program Traded Portfolio Algorithm Function service operation
Retrieve Program Traded Portfolio Maintenance Function,ProgramTradedPortfolioMaintenance,Program Trading,Role for Retrieve Program Traded Portfolio Maintenance Function service operation
Update Program Trade Execution Function,ProgramTradeExecution,Program Trading,Role for Update Program Trade Execution Function service operation
Update Program Traded Portfolio Algorithm Function,ProgramTradedPortfolioAlgorithm,Program Trading,Role for Update Program Traded Portfolio Algorithm Function service operation
Update Program Traded Portfolio Maintenance Function,ProgramTradedPortfolioMaintenance,Program Trading,Role for Update Program Traded Portfolio Maintenance Function service operation
Control Dealer Desk Operating Session,DealerDeskOperatingSession,Dealer Desk,Role for Control Dealer Desk Operating Session service operation
Exchange Dealer Desk Operating Session,DealerDeskOperatingSession,Dealer Desk,Role for Exchange Dealer Desk Operating Session service operation
Execute Dealer Desk Operating Session,DealerDeskOperatingSession,Dealer Desk,Role for Execute Dealer Desk Operating Session service operation
Initiate Dealer Desk Operating Session,DealerDeskOperatingSession,Dealer Desk,Role for Initiate Dealer Desk Operating Session service operation
Notify Dealer Desk Operating Session,DealerDeskOperatingSession,Dealer Desk,Role for Notify Dealer Desk Operating Session service operation
Request Dealer Desk Operating Session,DealerDeskOperatingSession,Dealer Desk,Role for Request Dealer Desk Operating Session service operation
Retrieve Dealer Desk Operating Session,DealerDeskOperatingSession,Dealer Desk,Role for Retrieve Dealer Desk Operating Session service operation
Update Dealer Desk Operating Session,DealerDeskOperatingSession,Dealer Desk,Role for Update Dealer Desk Operating Session service operation
Exchange Dealer Desk Consolidated Position Tracking Function,DealerDeskConsolidatedPositionTracking,Dealer Desk,Role for Exchange Dealer Desk Consolidated Position Tracking Function service operation
Exchange Dealer Desk Trading Assignment and Limits Function,DealerDeskTradingAssignmentandLimits,Dealer Desk,Role for Exchange Dealer Desk Trading Assignment and Limits Function service operation
Exchange Information Feed Administration Function,InformationFeedAdministration,Dealer Desk,Role for Exchange Information Feed Administration Function service operation
Execute Dealer Desk Consolidated Position Tracking Function,DealerDeskConsolidatedPositionTracking,Dealer Desk,Role for Execute Dealer Desk Consolidated Position Tracking Function service operation
Execute Dealer Desk Trading Assignment and Limits Function,DealerDeskTradingAssignmentandLimits,Dealer Desk,Role for Execute Dealer Desk Trading Assignment and Limits Function service operation
Execute Information Feed Administration Function,InformationFeedAdministration,Dealer Desk,Role for Execute Information Feed Administration Function service operation
Initiate Dealer Desk Consolidated Position Tracking Function,DealerDeskConsolidatedPositionTracking,Dealer Desk,Role for Initiate Dealer Desk Consolidated Position Tracking Function service operation
Initiate Dealer Desk Trading Assignment and Limits Function,DealerDeskTradingAssignmentandLimits,Dealer Desk,Role for Initiate Dealer Desk Trading Assignment and Limits Function service operation
Initiate Information Feed Administration Function,InformationFeedAdministration,Dealer Desk,Role for Initiate Information Feed Administration Function service operation
